Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"     
edm::HepMCProduct                     "generatorSmeared"          ""                "SIM"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "SIM"     
edm::TriggerResults                   "TriggerResults"            ""                "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "CaloHitsTk"      "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "CastorBU"        "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "CastorFI"        "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "CastorPL"        "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "CastorTU"        "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "ChamberHits"     "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "EcalHitsEB"      "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "EcalHitsEE"      "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "EcalHitsES"      "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "EcalTBH4BeamHits"   "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "FibreHits"       "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "HGCHitsEE"       "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "HGCHitsHEback"   "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "HGCHitsHEfront"   "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "HcalHits"        "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "HcalTB06BeamHits"   "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "WedgeHits"       "SIM"     
vector<PCaloHit>                      "g4SimHits"                 "ZDCHITS"         "SIM"     
vector<PSimHit>                       "g4SimHits"                 "BCM1FHits"       "SIM"     
vector<PSimHit>                       "g4SimHits"                 "BHMHits"         "SIM"     
vector<PSimHit>                       "g4SimHits"                 "BSCHits"         "SIM"     
vector<PSimHit>                       "g4SimHits"                 "FP420SI"         "SIM"     
vector<PSimHit>                       "g4SimHits"                 "FastTimerHitsBarrel"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "FastTimerHitsEndcap"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "MuonCSCHits"     "SIM"     
vector<PSimHit>                       "g4SimHits"                 "MuonDTHits"      "SIM"     
vector<PSimHit>                       "g4SimHits"                 "MuonGEMHits"     "SIM"     
vector<PSimHit>                       "g4SimHits"                 "MuonME0Hits"     "SIM"     
vector<PSimHit>                       "g4SimHits"                 "MuonRPCHits"     "SIM"     
vector<PSimHit>                       "g4SimHits"                 "PLTHits"         "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TotemHitsRP"     "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TotemHitsT1"     "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TotemHitsT2Gem"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelBarrelHighTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelBarrelLowTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelEndcapHighTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsPixelEndcapLowTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTECHighTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTECLowTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIBHighTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIBLowTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIDHighTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTIDLowTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTOBHighTof"   "SIM"     
vector<PSimHit>                       "g4SimHits"                 "TrackerHitsTOBLowTof"   "SIM"     
vector<SimTrack>                      "g4SimHits"                 ""                "SIM"     
vector<SimVertex>                     "g4SimHits"                 ""                "SIM"     
CrossingFramePlaybackInfoNew          "mixData"                   ""                "HLT"     
FEDRawDataCollection                  "hltFEDSelectorL1"          ""                "HLT"     
FEDRawDataCollection                  "rawDataCollector"          ""                "HLT"     
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "mixData"                   "MuonCSCComparatorDigisDM"   "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "mixData"                   "MuonCSCStripDigisDM"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "mixData"                   "MuonCSCWireDigisDM"   "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
